run_id,experiment,variant,window_start_unix_ms,window_end_unix_ms,requests,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,error_rate
legacy,baseline,no_mesh,1780836377214,1780836377656,1000,2262.443,12.795,23.134,28.862,0.0
legacy,baseline,aegismesh,1780836377701,1780836378127,1000,2347.418,12.721,22.54,27.954,0.0
legacy,single_instance_delay,round_robin,1780836378357,1780836382189,1000,260.96,173.142,250.127,256.636,0.0
legacy,single_instance_delay,adaptive_p2c,1780836382244,1780836382915,1000,1490.313,10.961,21.56,179.77,0.0
legacy,cpu_throttle,static_threshold,1780836408780,1780836409245,1000,2150.538,12.767,27.209,40.766,0.0
legacy,cpu_throttle,slow_score,1780836409301,1780836409768,1000,2141.328,12.775,23.641,30.434,0.0
legacy,retry_budget,without_budget,1780836439023,1780836439496,1000,2114.165,13.249,23.727,30.522,0.0
legacy,retry_budget,with_budget,1780836439548,1780836440008,1000,2173.913,12.1,23.104,28.282,0.0
legacy,packet_loss,no_ebpf_network_score,1780836440202,1780836440596,1000,2538.071,9.715,20.973,27.043,0.0
legacy,packet_loss,ebpf_network_score,1780836440657,1780836441095,1000,2283.105,12.513,23.062,28.808,0.0
legacy,recovery_curve,adaptive_p2c,1780836441552,1780836442193,1000,1560.062,11.819,21.187,32.306,0.0
legacy,baseline,no_mesh,1780837606984,1780837607437,1000,2207.506,7.768,20.057,24.997,0.0
legacy,baseline,aegismesh,1780837607497,1780837607942,1000,2247.191,13.038,22.996,28.358,0.0
legacy,single_instance_delay,round_robin,1780837608124,1780837611959,1000,260.756,85.708,251.581,334.376,0.0
legacy,single_instance_delay,adaptive_p2c,1780837612017,1780837612506,1000,2044.99,8.36,19.52,35.04,0.0
legacy,cpu_throttle,static_threshold,1780837638523,1780837639004,1000,2079.002,12.825,37.63,49.668,0.0
legacy,cpu_throttle,slow_score,1780837639064,1780837639442,1000,2645.503,10.268,21.365,26.605,0.0
legacy,retry_budget,without_budget,1780837668773,1780837669245,1000,2118.644,12.808,23.412,29.311,0.0
legacy,retry_budget,with_budget,1780837669304,1780837669705,1000,2493.766,11.422,22.088,26.663,0.0
legacy,packet_loss,no_ebpf_network_score,1780837669937,1780837670365,1000,2336.449,11.002,21.984,27.211,0.0
legacy,packet_loss,ebpf_network_score,1780837751222,1780837751702,1000,2083.333,9.098,19.103,24.623,0.0
legacy,recovery_curve,adaptive_p2c,1780837752113,1780837752676,1000,1776.199,7.972,18.305,33.685,0.0
legacy,baseline,no_mesh,1780837914225,1780837914663,1000,2283.105,3.748,12.168,17.271,0.0
legacy,baseline,aegismesh,1780837914725,1780837915285,1000,1785.714,10.606,19.55,28.405,0.0
legacy,baseline,no_mesh,1780837924517,1780837924952,1000,2298.851,4.568,13.183,17.35,0.0
legacy,baseline,aegismesh,1780837925015,1780837925597,1000,1718.213,9.97,19.346,27.655,0.0
legacy,baseline,no_mesh,1780838052800,1780838053191,1000,2557.545,10.279,19.805,24.446,0.0
legacy,baseline,aegismesh,1780838053246,1780838053523,1000,3610.108,3.926,11.296,15.513,0.0
legacy,single_instance_delay,round_robin,1780838053710,1780838057739,1000,248.201,169.266,254.684,362.987,0.0
legacy,single_instance_delay,adaptive_p2c,1780838057784,1780838058419,1000,1574.803,4.118,15.722,25.085,0.0
legacy,cpu_throttle,static_threshold,1780838084105,1780838084580,1000,2105.263,11.584,31.384,43.523,0.0
legacy,cpu_throttle,slow_score,1780838084638,1780838085002,1000,2747.253,9.876,21.854,26.512,0.0
legacy,retry_budget,without_budget,1780838114372,1780838114810,1000,2283.105,12.325,23.407,28.47,0.0
legacy,retry_budget,with_budget,1780838114870,1780838115277,1000,2457.002,5.993,17.102,21.537,0.0
legacy,packet_loss,no_ebpf_network_score,1780838115485,1780838115942,1000,2188.184,12.766,23.623,28.6,0.0
legacy,packet_loss,ebpf_network_score,1780838293175,1780838293485,1000,3225.806,5.998,15.991,23.741,0.0
legacy,recovery_curve,adaptive_p2c,1780838293876,1780838294440,1000,1773.05,8.497,19.407,37.749,0.0
20260607-214314,baseline,no_mesh,1780839794596,1780839794925,1000,3039.514,7.744,19.014,25.514,0.0
20260607-214314,baseline,aegismesh,1780839794968,1780839795409,1000,2267.574,12.606,22.59,28.153,0.0
20260607-214314,single_instance_delay,round_robin,1780839795575,1780839801095,1000,181.159,9.106,373.166,511.782,0.0
20260607-214314,single_instance_delay,adaptive_p2c,1780839801140,1780839801732,1000,1689.189,10.801,21.282,30.385,0.0
20260607-214314,cpu_throttle,static_threshold,1780839855916,1780839856455,1000,1855.288,12.96,42.822,53.267,0.0
20260607-214314,cpu_throttle,slow_score,1780839856520,1780839856896,1000,2659.574,9.671,20.085,25.747,0.0
20260607-214314,retry_budget,without_budget,1780839916208,1780839916662,1000,2202.643,,,,1.0
20260607-214314,retry_budget,with_budget,1780839916724,1780839917160,1000,2293.578,,,,1.0
20260607-214314,packet_loss,no_ebpf_network_score,1780839917353,1780839917973,1000,1612.903,10.076,20.364,27.867,0.0
20260607-214314,packet_loss,ebpf_network_score,1780840116601,1780840117203,1000,1661.13,10.735,23.279,28.288,0.0
20260607-214314,recovery_curve,adaptive_p2c,1780840117604,1780840118378,1000,1291.99,10.969,21.879,323.907,0.0
