run_id,experiment,variant,window_start_unix_ms,original_requests,retry_attempts,total_attempts,retry_amplification,error_rate
legacy,retry_budget,without_budget,1780836439023,1000,0,1000,1.0,0.0
legacy,retry_budget,with_budget,1780836439548,1000,0,1000,1.0,0.0
legacy,retry_budget,without_budget,1780837668773,1000,0,1000,1.0,0.0
legacy,retry_budget,with_budget,1780837669304,1000,0,1000,1.0,0.0
legacy,retry_budget,without_budget,1780838114372,1000,0,1000,1.0,0.0
legacy,retry_budget,with_budget,1780838114870,1000,0,1000,1.0,0.0
retry-repeat-1,retry_budget,without_budget,1780841434641,1000,1000,2000,2.000000,1.0
retry-repeat-1,retry_budget,with_budget,1780841435143,1000,150,1150,1.150000,1.0
retry-repeat-2,retry_budget,without_budget,1780841435608,1000,1000,2000,2.000000,1.0
retry-repeat-2,retry_budget,with_budget,1780841436098,1000,150,1150,1.150000,1.0
retry-repeat-3,retry_budget,without_budget,1780841436661,1000,1000,2000,2.000000,1.0
retry-repeat-3,retry_budget,with_budget,1780841437196,1000,150,1150,1.150000,1.0
retry-repeat-4,retry_budget,without_budget,1780841437762,1000,1000,2000,2.000000,1.0
retry-repeat-4,retry_budget,with_budget,1780841438268,1000,150,1150,1.150000,1.0
retry-repeat-5,retry_budget,without_budget,1780841438853,1000,1000,2000,2.000000,1.0
retry-repeat-5,retry_budget,with_budget,1780841439296,1000,150,1150,1.150000,1.0
single-machine-main,retry_budget,without_budget,1780839916208,1000,1000,2000,2.000000,1.0
single-machine-main,retry_budget,with_budget,1780839916724,1000,150,1150,1.150000,1.0
