experiment,variant,window_start_unix_ms,window_end_unix_ms,requests,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,error_rate
baseline,no_mesh,1780839794596,1780839794925,1000,3039.514,7.744,19.014,25.514,0.0
baseline,aegismesh,1780839794968,1780839795409,1000,2267.574,12.606,22.59,28.153,0.0
single_instance_delay,round_robin,1780839795575,1780839801095,1000,181.159,9.106,373.166,511.782,0.0
single_instance_delay,adaptive_p2c,1780839801140,1780839801732,1000,1689.189,10.801,21.282,30.385,0.0
cpu_throttle,static_threshold,1780839855916,1780839856455,1000,1855.288,12.96,42.822,53.267,0.0
cpu_throttle,slow_score,1780839856520,1780839856896,1000,2659.574,9.671,20.085,25.747,0.0
retry_budget,without_budget,1780839916208,1780839916662,1000,2202.643,,,,1.0
retry_budget,with_budget,1780839916724,1780839917160,1000,2293.578,,,,1.0
packet_loss,no_ebpf_network_score,1780839917353,1780839917973,1000,1612.903,10.076,20.364,27.867,0.0
packet_loss,ebpf_network_score,1780840116601,1780840117203,1000,1661.13,10.735,23.279,28.288,0.0
recovery_curve,adaptive_p2c,1780840117604,1780840118378,1000,1291.99,10.969,21.879,323.907,0.0
